.,,,,
,SMPS 재고,,2026. 6. 4,
,,,오전 9:00:00 최신화,
,,,,
,모델명,재고수량,예약수량,
,ADS 시리즈,재고수량,예약수량,
,ADS-15512,-,-,
,,,,
,APV 시리즈,재고수량,예약수량,
,APV-12-12,-,-,
,APV-12-24,-,-,
,,,,
,CSP 시리즈,재고수량,예약수량,
,CSP-3000-120,13,-,
,CSP-3000-250,-,-,
,CSP-3000-400,15,-,
,,,,
,DBU시리즈,재고수량,예약수량,
,DBU-3200-48,8,-,
,,,,
,DDR 시리즈,재고수량,예약수량,
,DDR-15G-3.3,-,-,
,DDR-15G-5,57,-,
,DDR-15G-12,386,-,ㅛㅕㅕㅑㅕㅛㅑㅛㅕㅑ
,DDR-15G-15,146,-,
,DDR-15G-24,125,-,ㅛㅕㅑㅛㅕㅑㅛㅕㅑ
,DDR-15L-5,136,-,
,DDR-15L-12,111,-,
,DDR-15L-24,160,-,
,DDR-30G-5,45,-,
,DDR-30G-12,80,-,
,DDR-30G-24,183,-,
,DDR-30L-5,59,-,
,DDR-30L-12,94,-,
,DDR-30L-24,155,-,
,DDR-60G-5,116,-,
,DDR-60G-12,70,-,
,DDR-60G-24,44,-,
,DDR-60L-5,59,-,
,DDR-60L-12,39,-,
,DDR-60L-15,60,-,
,DDR-60L-24,59,-,
,DDR-120A-12,-,-,
,DDR-120A-48,-,-,
,DDR-120B-12,45,25,
,DDR-120B-24,20,-,
,DDR-120C-12,15,-,
,DDR-120C-24,39,-,
,DDR-120C-48,16,-,
,DDR-120D-24,55,-,
,DDR-240B-24,31,-,
,DDR-240C-24,45,-,
,DDR-480B-24,18,-,
,DDR-480C-12,100,-,
,DDR-480C-24,17,-,
,,,,
,DPU 시리즈,재고수량,예약수량,
,DPU-3200-24,-,-,
,DPU-3200-48,-,-,
,,,,
,DUBW 시리즈,재고수량,예약수량,
,DPBW06F-15,4,-,
,,,,
,DUPN 시리즈,재고수량,예약수량,
,DPUN02L-15,202,-,
,,,,
,DRA시리즈,재고수량,예약수량,
,DRA-40-12,42,-,
,DRA-40-24,42,-,
,DRA-60-12,42,-,
,DRA-60-24,43,-,
,,,,
,DRC시리즈,재고수량,예약수량,
,DRC-180A,-,-,
,DRC-180B,-,-,
,,,,
