"Model","Watt(W)","Sources","DistinctPDFs","Note"
"0.06A/230VAC","84","3","3","multiple watt values detected across PDFs"
"0.1A/115VAC","84","3","3","multiple watt values detected across PDFs"
"0.4A/100-240VAC","84","3","3","multiple watt values detected across PDFs"
"01U","1","1","1",""
"0E","960","2","2","multiple watt values detected across PDFs"
"1.25CUFT","450","7","7","multiple watt values detected across PDFs"
"1.34CUFT","450","7","7","multiple watt values detected across PDFs"
"1.74CUFT","450","7","7","multiple watt values detected across PDFs"
"1.8KG(TYP.)","450","7","7","multiple watt values detected across PDFs"
"10.4A/24V","201.6","1","1",""
"10.6A/24V","200.4","1","1",""
"10.8A/24V","170","1","1",""
"1000UF","15","1","1",""
"1000W","1000","2","2","multiple watt values detected across PDFs"
"100W","100","4","4","multiple watt values detected across PDFs"
"1050B","37.8","1","1",""
"10W","10","1","1",""
"11.8KG","450","7","7","multiple watt values detected across PDFs"
"1200W","1200","4","4","multiple watt values detected across PDFs"
"120W","120","7","7","multiple watt values detected across PDFs"
"12W","12","1","1",""
"1400W","1400","1","1",""
"14KG","450","7","7","multiple watt values detected across PDFs"
"150W","150","3","3","multiple watt values detected across PDFs"
"155KG","2","3","3","multiple watt values detected across PDFs"
"15885(PART","150","63","63","multiple watt values detected across PDFs"
"15A(PEAK","205","1","1",""
"15W","15","3","3","multiple watt values detected across PDFs"
"16.7A)","250.6","1","1",""
"160W","160","6","6","multiple watt values detected across PDFs"
"16KG","2","3","3","multiple watt values detected across PDFs"
"16W","16","2","2","multiple watt values detected across PDFs"
"17290.5K","46.2","1","1",""
"176-280VDC","75","2","2","multiple watt values detected across PDFs"
"19KG","450","7","7","multiple watt values detected across PDFs"
"1RWH","2000","2","2","multiple watt values detected across PDFs"
"1W","1","3","3","multiple watt values detected across PDFs"
"2.16KG(TYP.)","450","7","7","multiple watt values detected across PDFs"
"2/SEC","60","3","3","multiple watt values detected across PDFs"
"2/SEC13)","150","60","60","multiple watt values detected across PDFs"
"2005+A2","200","1","1",""
"200W","200","4","4","multiple watt values detected across PDFs"
"20A)","250.6","1","1",""
"20MM","20","1","1",""
"20W","20","7","7","multiple watt values detected across PDFs"
"220W","220","2","2","multiple watt values detected across PDFs"
"23CUFT","2","3","3","multiple watt values detected across PDFs"
"240W","240","9","9","multiple watt values detected across PDFs"
"25W","25","2","2","multiple watt values detected across PDFs"
"26.4W","26.4","2","2","multiple watt values detected across PDFs"
"2700UF","9.9","1","1",""
"2G","0.15","4","4","multiple watt values detected across PDFs"
"2-IN-1","450","1","1",""
"2W","2","4","4","multiple watt values detected across PDFs"
"300W","300","2","2","multiple watt values detected across PDFs"
"30W","30","1","1",""
"315W","315","3","3","multiple watt values detected across PDFs"
"33W","33","2","2","multiple watt values detected across PDFs"
"350B","37.8","1","1",""
"35W","35","2","2","multiple watt values detected across PDFs"
"3DUDPHWHU","2000","1","1",""
"3KG(TYP.)","450","7","7","multiple watt values detected across PDFs"
"3W","3","3","3","multiple watt values detected across PDFs"
"40.5W","40.5","2","2","multiple watt values detected across PDFs"
