PDF,Model,Watt(W),DC Voltage(V),Additional Option(Type),Method
AD-155-SPEC.PDF,AD-155A,151.55,13.8,,ordered
AD-155-SPEC.PDF,AD-155B,151.55,27.6,,ordered
AD-155-SPEC.PDF,AD-155C,156.5,54,,ordered
AD-55-SPEC.PDF,AD-55A,51.38,13.8,,ordered
AD-55-SPEC.PDF,AD-55B,53.92,27.6,,ordered
ADD-155-SPEC.PDF,ADD-155A,152.75,13.8,,ordered
ADD-155-SPEC.PDF,ADD-155B,152.75,27.6,,ordered
ADD-155-SPEC.PDF,ADD-155C,149.9,54,,ordered
ADD-55-SPEC.PDF,ADD-55A,52.58,13.8,,ordered
ADD-55-SPEC.PDF,ADD-55B,55.12,27.6,,ordered
ADS-155-SPEC.PDF,ADS-15512,153,12,,ordered
ADS-155-SPEC.PDF,ADS-15524,154.2,24,,ordered
ADS-155-SPEC.PDF,ADS-15548,154.2,48,,ordered
ADS-55-SPEC.PDF,ADS-5512,51,12,,ordered
ADS-55-SPEC.PDF,ADS-5524,58,24,,ordered
APC-12-SPEC.pdf,APC-12-350,12.6,36,,ordered
APC-12-SPEC.pdf,APC-12-700,12.6,18,,ordered
APC-16-SPEC.pdf,APC-16-350,16.8,48,,ordered
APC-16-SPEC.pdf,APC-16-700,16.8,24,,ordered
APC-25-SPEC.pdf,APC-25-1050,25.2,24,,ordered
APC-25-SPEC.pdf,APC-25-350,24.5,70,,ordered
APC-25-SPEC.pdf,APC-25-500,25.2,50,,ordered
APC-35-SPEC.pdf,APC-35-1050,34.7,33,,ordered
APC-35-SPEC.pdf,APC-35-350,35,100,,ordered
APC-35-SPEC.pdf,APC-35-500,35,70,,ordered
APC-8-SPEC.pdf,APC-8-250,8.05,,,single-power-for-all
APC-8-SPEC.pdf,APC-8-250-700MA,8.05,,,single-power-for-all
APC-8-SPEC.pdf,APC-8-350,8.05,29,,single-power-for-all
APC-8-SPEC.pdf,APC-8-500,8.05,,,single-power-for-all
APC-8-SPEC.pdf,APC-8-700,8.05,38,,single-power-for-all
APV-12-SPEC.pdf,APV-12-12,12,12,,ordered
APV-12-SPEC.pdf,APV-12-15,12,15,,ordered
APV-12-SPEC.pdf,APV-12-24,12,24,,ordered
APV-12-SPEC.pdf,APV-12-5,10,5,,ordered
APV-16-SPEC.pdf,APV-16-12,15,12,,ordered
APV-16-SPEC.pdf,APV-16-15,15,15,,ordered
APV-16-SPEC.pdf,APV-16-24,16.08,24,,ordered
APV-16-SPEC.pdf,APV-16-5,13,5,,ordered
APV-25-SPEC.pdf,APV-25-12,17.5,5,,single-power-for-all
APV-25-SPEC.pdf,APV-25-15,17.5,5,,single-power-for-all
APV-25-SPEC.pdf,APV-25-24,17.5,5,,single-power-for-all
APV-25-SPEC.pdf,APV-25-36,17.5,5,,single-power-for-all
APV-25-SPEC.pdf,APV-25-5,17.5,5,,single-power-for-all
APV-35-SPEC.pdf,APV-35-12,25,5,,single-power-for-all
APV-35-SPEC.pdf,APV-35-15,25,5,,single-power-for-all
APV-35-SPEC.pdf,APV-35-24,25,5,,single-power-for-all
APV-35-SPEC.pdf,APV-35-36,25,5,,single-power-for-all
APV-35-SPEC.pdf,APV-35-5,25,5,,single-power-for-all
APV-8-SPEC.pdf,APV-8-12,8,,,single-power-for-all
APV-8-SPEC.pdf,APV-8-24,8,12,,single-power-for-all
APV-8-SPEC.pdf,APV-8-5,8,,,single-power-for-all
BIC-2200-spec.pdf,BIC-2200-12,2160,12,Blank|CAN,single-power-for-all
BIC-2200-spec.pdf,BIC-2200-24,2160,24,Blank|CAN,single-power-for-all
BIC-2200-spec.pdf,BIC-2200-48,2160,48,Blank|CAN,single-power-for-all
BIC-2200-spec.pdf,BIC-2200-96,2160,96,Blank|CAN,single-power-for-all
BIC-5K-spec.pdf,BIC-5K-24,4992,24,Blank|MOD|MODBUS,ordered
BIC-5K-spec.pdf,BIC-5K-380,5025,380,Blank|MOD|MODBUS,ordered
BIC-5K-spec.pdf,BIC-5K-48,4992,48,Blank|MOD|MODBUS,ordered
BIC-5K-spec.pdf,BIC-5K-96,4992,96,Blank|MOD|MODBUS,ordered
CSP-3000.pdf,CSP-3000-120,3000,250,,ordered
CSP-3000.pdf,CSP-3000-250,3000,400,,ordered
CSP-3000.pdf,CSP-3000-400,3000,,,ordered
DAP-04-SPEC.pdf,DAP-04-SPEC,0.5,10,,ordered
DBR-3200-spec.pdf,DBR-3200-24,3200,28.8,Blank|CAN,single-power-for-all
DBR-3200-spec.pdf,DBR-3200-48,3200,57.6,Blank|CAN,single-power-for-all
DBU-3200-spec.pdf,DBU-3200-24,3200,28.8,Blank|CAN,single-power-for-all
DBU-3200-spec.pdf,DBU-3200-48,3200,57.6,Blank|CAN,single-power-for-all
DCW08-SPEC.PDF,DCW08A-05,8,5,,single-power-for-all
DCW08-SPEC.PDF,DCW08A-12,8,,,single-power-for-all
DCW08-SPEC.PDF,DCW08A-15,8,,,single-power-for-all
DCW08-SPEC.PDF,DCW08B-05,8,12,,single-power-for-all
DCW08-SPEC.PDF,DCW08B-12,8,,,single-power-for-all
DCW08-SPEC.PDF,DCW08B-15,8,,,single-power-for-all
DCW08-SPEC.PDF,DCW08C-05,8,15,,single-power-for-all
DCW08-SPEC.PDF,DCW08C-12,8,,,single-power-for-all
DCW08-SPEC.PDF,DCW08C-15,8,,,single-power-for-all
DCW08W8-SPEC.PDF,DCW08W8,8,12,,ordered
DCW12-SPEC.PDF,DCW12A-05,12,5,,single-power-for-all
DCW12-SPEC.PDF,DCW12A-12,12,,,single-power-for-all
DCW12-SPEC.PDF,DCW12A-15,12,,,single-power-for-all
DCW12-SPEC.PDF,DCW12B-05,12,12,,single-power-for-all
DCW12-SPEC.PDF,DCW12B-12,12,,,single-power-for-all
DCW12-SPEC.PDF,DCW12B-15,12,,,single-power-for-all
DCW12-SPEC.PDF,DCW12C-05,12,15,,single-power-for-all
DCW12-SPEC.PDF,DCW12C-12,12,,,single-power-for-all
DCW12-SPEC.PDF,DCW12C-15,12,,,single-power-for-all
DCW12W8-SPEC.PDF,DCW12W8,12,12,,ordered
DCW20W8-SPEC.PDF,DCW20W8,20,12,,ordered
DCWN03-SPEC.PDF,DCWN03,3,3.3,,ordered
DCWN03W8-SPEC.PDF,DCWN03W8,3,12,,ordered
DCWN06-SPEC.PDF,DCWN06,6,3.3,,ordered
DCWN06W8-SPEC.PDF,DCWN06W8,6,12,,ordered
DDR-120.pdf,DDR-120A-12,100.8,24,,ordered
DDR-120.pdf,DDR-120A-24,99.6,12,,ordered
DDR-120.pdf,DDR-120A-48,120,24,,ordered
DDR-120.pdf,DDR-120B-12,120,48,,ordered
DDR-120.pdf,DDR-120B-24,120,12,,ordered
DDR-120.pdf,DDR-120B-48,100.8,48,,ordered
DDR-15.pdf,DDR-15L-3.3,15,3.3,,ordered-truncated
DDR-15.pdf,DDR-15L-5,15,5,,ordered-truncated
DDR-240.pdf,DDR-240B-24,240,24,,ordered
DDR-240.pdf,DDR-240B-48,240,,,ordered
DDR-240.pdf,DDR-240C-24,240,,,ordered
DDR-240.pdf,DDR-240C-48,240,24,,ordered
