"SpecPath","ModelAliases","MatchedThumbnailCount","MatchedThumbnails"
"CSP\CSP-3000-spec.pdf","CSP-3000","3","CSP-3000.jpg; CSP-3000-120.jpg; CSP-3000-400.jpg"
"DBU\DBU-3200-spec.pdf","DBU-3200","1","DBU-3200-48.jpg"
"DDR\DDR-120-SPEC.pdf","DDR-120","4","DDR-120C.jpg; DDR-120C-24.jpg; DDR-120C-48.jpg; DDR-120D-24.jpg"
"DDR\DDR-15-spec.pdf","DDR-15","8","DDR-15.jpg; DDR-15G-12.jpg; DDR-15G-15.jpg; DDR-15G-24.jpg; DDR-15G-5.jpg; DDR-15L-12.jpg; DDR-15L-24.jpg; DDR-15L-5.jpg"
"DDR\DDR-240-spec.pdf","DDR-240","3","DDR-240B.jpg; DDR-240B-24.jpg; DDR-240C-24.jpg"
"DDR\DDR-30-spec.pdf","DDR-30","7","DDR-30.jpg; DDR-30G.jpg; DDR-30G-12.jpg; DDR-30G-24.jpg; DDR-30G-5.jpg; DDR-30L-12.jpg; DDR-30L-5.jpg"
"DDR\DDR-480-spec.pdf","DDR-480","4","DDR-480B.jpg; DDR-480B-24.jpg; DDR-480C-12.jpg; DDR-480C-24.jpg"
"DDR\DDR-60-spec.pdf","DDR-60","5","DDR-60.jpg; DDR-60G-12.jpg; DDR-60G-24.jpg; DDR-60G-5.jpg; DDR-60L-5.jpg"
"DRA\DRA-60-SPEC.pdf","DRA-60","2","DRA-60.jpg; DRA-60-24.jpg"
"DRDN\DRDN20-spec.pdf","DRDN20","2","DRDN20-24.jpg; DRDN20-24_1.jpg"
"DRDN\DRDN40-spec.pdf","DRDN40","2","DRDN40-12.jpg; DRDN40-24.jpg"
"DRS\DRS-240-spec.pdf","DRS-240","0",""
"DRS\DRS-480-spec.pdf","DRS-480","0",""
"DUPS\DUPS20-spec.pdf","DUPS20","2","DUPS20.jpg; DUPS20_1.jpg"
"EDR\EDR-120-SPEC.pdf","EDR-120","2","EDR-120.jpg; EDR-120-24.jpg"
"EDR\EDR-150-SPEC.pdf","EDR-150","2","EDR-150.jpg; EDR-150-24.jpg"
"EDR\EDR-75-SPEC.pdf","EDR-75","4","EDR-75.jpg; EDR-75-12.jpg; EDR-75-24.jpg; EDR-75-48.jpg"
"ELG\ELG-100-SPEC.pdf","ELG-100","0",""
"ELG\ELG-150-SPEC.pdf","ELG-150","3","ELG-150.jpg; ELG-150-12A.jpg; ELG-150-12A-3Y.jpg"
"ELG\ELG-200-SPEC.pdf","ELG-200","2","ELG-200.jpg; ELG-200-12A.jpg"
"ELG\ELG-240-SPEC.pdf","ELG-240","2","ELG-240.jpg; ELG-240-24A-3Y.jpg"
"ELG\ELG-300-spec.pdf","ELG-300","4","ELG-300.jpg; ELG-300-12A.jpg; ELG-300-24A.jpg; ELG-300-24A-3Y.jpg"
